iter	RMSE
0	0.6659441026
1	0.5520087087
2	0.4941430027
3	0.4565231713
4	0.4407221223
5	0.4233810081
6	0.4172478032
7	0.4120938383
8	0.4079765511
9	0.404620066
10	0.3991686632
11	0.3951790001
12	0.3921758377
13	0.3901697826
14	0.3877999303
15	0.38656614
16	0.3847080835
17	0.3828046245
18	0.3814233444
19	0.3801366138
20	0.3786447136
21	0.3773482629
22	0.3763057628
23	0.3750098339
24	0.3737617814
25	0.3720451584
26	0.3710908241
27	0.3699342573
28	0.3693022626
29	0.3684299055
30	0.3676580556
31	0.3668543902
32	0.366104816
33	0.3653298457
34	0.3643511053
35	0.363619547
36	0.3627755867
37	0.3622071445
38	0.3617594087
39	0.3613658198
40	0.3610457205
41	0.3603915825
42	0.3598724338
43	0.3593307117
44	0.3586975254
45	0.3581792051
46	0.3571048046
47	0.3565624109
48	0.3560632863
49	0.3555348995
50	0.3551687557
51	0.3546156188
52	0.3540987362
53	0.3537477858
54	0.3533291833
55	0.352931231
56	0.3525788569
57	0.3519051932
58	0.3513740458
59	0.3510105745
60	0.3507299236
61	0.3502470837
62	0.3498402376
63	0.349251162
64	0.3489541579
65	0.3485244711
66	0.3483251761
67	0.3480676952
68	0.3476626793
69	0.3473242962
70	0.3469775175
71	0.3466552372
72	0.3463839432
73	0.3461257453
74	0.3459415164
75	0.3457000797
76	0.3453611407
77	0.3452393874
78	0.3449876217
79	0.3448898572
80	0.3446408343
81	0.3443238365
82	0.3441219173
83	0.3438022978
84	0.3434006037
85	0.3431271073
86	0.3428581546
87	0.3425799169
88	0.3422911855
89	0.3420543864
90	0.3418445956
91	0.3416752412
92	0.3413294334
93	0.3410561262
94	0.340897455
95	0.340657957
96	0.3404949658
97	0.3402722884
98	0.3400916205
99	0.3398277779
