iter	Passed	Remaining
0	16	1657
1	33	1660
2	49	1609
3	64	1554
4	80	1537
5	98	1535
6	114	1518
7	130	1499
8	145	1468
9	160	1448
10	176	1431
11	192	1415
12	208	1395
13	223	1374
14	238	1351
15	253	1329
16	268	1310
17	284	1297
18	300	1281
19	315	1263
20	331	1247
21	347	1230
22	361	1211
23	377	1194
24	392	1178
25	409	1165
26	424	1148
27	439	1130
28	453	1109
29	469	1094
30	484	1078
31	499	1062
32	515	1047
33	531	1031
34	546	1015
35	562	1000
36	579	986
37	594	970
38	610	955
39	626	940
40	641	922
41	656	906
42	672	891
43	687	875
44	702	858
45	717	842
46	734	827
47	749	812
48	764	795
49	780	780
50	794	763
51	811	748
52	826	733
53	842	717
54	858	702
55	873	686
56	889	671
57	905	655
58	921	640
59	937	624
60	950	607
61	965	591
62	980	575
63	998	561
64	1013	545
65	1028	530
66	1043	513
67	1056	497
68	1072	481
69	1088	466
70	1103	450
71	1119	435
72	1135	419
73	1149	403
74	1163	387
75	1177	371
76	1192	356
77	1206	340
78	1221	324
79	1235	308
80	1253	293
81	1267	278
82	1282	262
83	1298	247
84	1315	232
85	1332	216
86	1347	201
87	1361	185
88	1378	170
89	1393	154
90	1409	139
91	1424	123
92	1439	108
93	1454	92
94	1469	77
95	1484	61
96	1499	46
97	1514	30
98	1530	15
99	1545	0
